datetime;W
20160101:0000;0
20160101:0020;0
20160101:0040;0
20160101:0100;0
20160101:0120;0
20160101:0140;0
20160101:0200;0
20160101:0220;0
20160101:0240;2468,86
20160101:0300;4131,28
20160101:0320;4472,78
20160101:0340;5437,22
20160101:0400;5732,76
20160101:0420;2549,93
20160101:0440;1106,1
20160101:0500;0
20160101:0520;0
20160101:0540;0
20160101:0600;0
20160101:0620;0
20160101:0640;0
20160101:0700;0
20160101:0720;0
20160101:0740;0
20160101:0800;0
20160101:0820;0
20160101:0840;0
20160101:0900;0
20160101:0920;0
20160101:0940;0
20160101:1000;0
20160101:1020;0
20160101:1040;3874,17
20160101:1100;6811,49
20160101:1120;5282,63
20160101:1140;6197,34
20160101:1200;7530,67
20160101:1220;6776,32
20160101:1240;2317,64
20160101:1300;0
20160101:1320;0
20160101:1340;0
20160101:1400;0
20160101:1420;0
20160101:1440;0
20160101:1500;0
20160101:1520;0
20160101:1540;0
20160101:1600;0
20160101:1620;0
20160101:1640;0
20160101:1700;0
20160101:1720;0
20160101:1740;0
20160101:1800;0
20160101:1820;0
20160101:1840;1978,8
20160101:1900;694,55
20160101:1920;4758,77
20160101:1940;4381,53
20160101:2000;2853,19
20160101:2020;1241,01
20160101:2040;981,28
20160101:2100;0
20160101:2120;0
20160101:2140;0
20160101:2200;0
20160101:2220;0
20160101:2240;0
20160101:2300;0
20160101:2320;0
20160101:2340;0
20160101:0000;0
20160102:0020;0
20160102:0040;0
20160102:0100;0
20160102:0120;0
20160102:0140;0
20160102:0200;0
20160102:0220;0
20160102:0240;3989,81
20160102:0300;9011,86
20160102:0320;9374,61
20160102:0340;14632,13
20160102:0400;14151,96
20160102:0420;9713,59
20160102:0440;3853,3
20160102:0500;0
20160102:0520;0
20160102:0540;0
20160102:0600;0
20160102:0620;0
20160102:0640;0
20160102:0700;0
20160102:0720;0
20160102:0740;0
20160102:0800;0
20160102:0820;0
20160102:0840;0
20160102:0900;0
