Horodate;W
2019-01-01T00:00:00+01:00;68000
2019-01-01T00:10:00+01:00;64000
2019-01-01T00:20:00+01:00;63000
2019-01-01T00:30:00+01:00;65000
2019-01-01T00:40:00+01:00;69000
2019-01-01T00:50:00+01:00;71000
2019-01-01T01:00:00+01:00;67000
2019-01-01T01:10:00+01:00;64000
2019-01-01T01:20:00+01:00;66000
2019-01-01T01:30:00+01:00;92000
2019-01-01T01:40:00+01:00;106000
2019-01-01T01:50:00+01:00;102000
2019-01-01T02:00:00+01:00;103000
2019-01-01T02:10:00+01:00;102000
2019-01-01T02:20:00+01:00;104000
2019-01-01T02:30:00+01:00;99000
2019-01-01T02:40:00+01:00;102000
2019-01-01T02:50:00+01:00;104000
2019-01-01T03:00:00+01:00;108000
2019-01-01T03:10:00+01:00;110000
2019-01-01T03:20:00+01:00;109000
2019-01-01T03:30:00+01:00;107000
2019-01-01T03:40:00+01:00;106000
2019-01-01T03:50:00+01:00;107000
2019-01-01T04:00:00+01:00;108000
2019-01-01T04:10:00+01:00;109000
2019-01-01T04:20:00+01:00;108000
2019-01-01T04:30:00+01:00;107000
2019-01-01T04:40:00+01:00;105000
2019-01-01T04:50:00+01:00;102000
2019-01-01T05:00:00+01:00;116000
2019-01-01T05:10:00+01:00;120000
2019-01-01T05:20:00+01:00;124000
2019-01-01T05:30:00+01:00;124000
2019-01-01T05:40:00+01:00;131000
2019-01-01T05:50:00+01:00;131000
2019-01-01T06:00:00+01:00;130000
2019-01-01T06:10:00+01:00;129000
2019-01-01T06:20:00+01:00;127000
2019-01-01T06:30:00+01:00;129000
2019-01-01T06:40:00+01:00;124000
2019-01-01T06:50:00+01:00;125000
2019-01-01T07:00:00+01:00;122000
2019-01-01T07:10:00+01:00;125000
2019-01-01T07:20:00+01:00;121000
2019-01-01T07:30:00+01:00;121000
2019-01-01T07:40:00+01:00;123000
2019-01-01T07:50:00+01:00;121000
2019-01-01T08:00:00+01:00;122000
2019-01-01T08:10:00+01:00;123000
2019-01-01T08:20:00+01:00;123000
2019-01-01T08:30:00+01:00;125000
2019-01-01T08:40:00+01:00;123000
2019-01-01T08:50:00+01:00;122000
2019-01-01T09:00:00+01:00;121000
2019-01-01T09:10:00+01:00;119000
2019-01-01T09:20:00+01:00;119000
2019-01-01T09:30:00+01:00;121000
2019-01-01T09:40:00+01:00;121000
2019-01-01T09:50:00+01:00;122000
2019-01-01T10:00:00+01:00;121000
2019-01-01T10:10:00+01:00;121000
2019-01-01T10:20:00+01:00;122000
2019-01-01T10:30:00+01:00;119000
2019-01-01T10:40:00+01:00;124000
2019-01-01T10:50:00+01:00;121000
2019-01-01T11:00:00+01:00;122000
2019-01-01T11:10:00+01:00;121000
2019-01-01T11:20:00+01:00;120000
2019-01-01T11:30:00+01:00;121000
2019-01-01T11:40:00+01:00;120000
2019-01-01T11:50:00+01:00;123000
2019-01-01T12:00:00+01:00;126000
2019-01-01T12:10:00+01:00;121000
2019-01-01T12:20:00+01:00;122000
2019-01-01T12:30:00+01:00;121000
2019-01-01T12:40:00+01:00;122000
2019-01-01T12:50:00+01:00;121000
2019-01-01T13:00:00+01:00;124000
2019-01-01T13:10:00+01:00;122000
2019-01-01T13:20:00+01:00;123000
2019-01-01T13:30:00+01:00;123000
2019-01-01T13:40:00+01:00;123000
2019-01-01T13:50:00+01:00;121000
2019-01-01T14:00:00+01:00;123000
2019-01-01T14:10:00+01:00;126000
2019-01-01T14:20:00+01:00;122000
2019-01-01T14:30:00+01:00;116000
2019-01-01T14:40:00+01:00;120000
2019-01-01T14:50:00+01:00;117000
2019-01-01T15:00:00+01:00;119000
2019-01-01T15:10:00+01:00;120000
2019-01-01T15:20:00+01:00;120000
2019-01-01T15:30:00+01:00;120000
2019-01-01T15:40:00+01:00;122000
2019-01-01T15:50:00+01:00;121000
2019-01-01T16:00:00+01:00;122000
2019-01-01T16:10:00+01:00;121000
2019-01-01T16:20:00+01:00;122000
2019-01-01T16:30:00+01:00;118000
