Datetime;W;W
11/03/2019 00:00;5580;4952
11/03/2019 01:00;4744;3962
11/03/2019 02:00;3323;2863
11/03/2019 03:00;2675;2747
11/03/2019 04:00;2478;4113
11/03/2019 05:00;2767;2128
11/03/2019 06:00;2574;3719
11/03/2019 07:00;5823;5575
11/03/2019 08:00;10963;8971
11/03/2019 09:00;9927;11512
11/03/2019 10:00;12865;9842
11/03/2019 11:00;8925;12442
11/03/2019 12:00;12059;13738
11/03/2019 13:00;13592;12285
11/03/2019 14:00;9579;10284
11/03/2019 15:00;8242;8482
11/03/2019 16:00;7672;4021
11/03/2019 17:00;3883;3211
11/03/2019 18:00;2366;3579
11/03/2019 19:00;2907;2881
11/03/2019 20:00;3448;4063
11/03/2019 21:00;3763;3715
11/03/2019 22:00;3135;3189
11/03/2019 23:00;3115;4989
12/03/2019 00:00;3255;3229
12/03/2019 01:00;2355;2242
12/03/2019 02:00;2734;2616
12/03/2019 03:00;2640;2395
12/03/2019 04:00;3021;2758
12/03/2019 05:00;2425;3419
12/03/2019 06:00;2647;5306
12/03/2019 07:00;9608;11203
12/03/2019 08:00;12083;7119
12/03/2019 09:00;8817;9516
12/03/2019 10:00;9060;9251
12/03/2019 11:00;12136;11044
12/03/2019 12:00;12709;11584
12/03/2019 13:00;12615;11116
12/03/2019 14:00;11694;5899
12/03/2019 15:00;6482;3161
12/03/2019 16:00;4323;4698
12/03/2019 17:00;3384;4385
12/03/2019 18:00;2929;3224
12/03/2019 19:00;6563;3759
12/03/2019 20:00;3715;4199
12/03/2019 21:00;2789;2281
12/03/2019 22:00;2911;2894
12/03/2019 23:00;3861;3616
13/03/2019 00:00;2452;2953
13/03/2019 01:00;2782;4641
13/03/2019 02:00;2859;3113
13/03/2019 03:00;3459;2485
13/03/2019 04:00;3248;3373
13/03/2019 05:00;2854;2896
13/03/2019 06:00;3507;3248
13/03/2019 07:00;3321;3192
13/03/2019 08:00;3662;5845
13/03/2019 09:00;6655;6210
13/03/2019 10:00;11667;11411
13/03/2019 11:00;10251;8933
13/03/2019 12:00;12138;13633
13/03/2019 13:00;14075;16774
13/03/2019 14:00;10628;9640
13/03/2019 15:00;7848;6245
13/03/2019 16:00;5678;4498
13/03/2019 17:00;4356;3982
13/03/2019 18:00;2395;2123
13/03/2019 19:00;2900;2749
13/03/2019 20:00;3691;3875
13/03/2019 21:00;3347;3119
13/03/2019 22:00;2430;2688
13/03/2019 23:00;2425;4715
14/03/2019 00:00;5637;4702
14/03/2019 01:00;5280;2995
14/03/2019 02:00;2478;2609
14/03/2019 03:00;2099;3084
14/03/2019 04:00;2791;2712
14/03/2019 05:00;2898;2150
14/03/2019 06:00;2699;2305
14/03/2019 07:00;3820;3496
14/03/2019 08:00;9008;8559
14/03/2019 09:00;9216;10503
